Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
347,"Soler, Jorge",KC,OF,372.39,257,435,,126,,
348,"Gregorius, Didi",NYY,SS,373.6,125,493,,120,,
349,"Garcia, Avisail",TB,OF,375.65,185,488,,124,,
350,"Kipnis, Jason",CLE,2B,377.04,272,422,,127,,
351,"Velasquez, Vince",PHI,P,377.34,286,449,,129,,
352,"Pineda, Michael",MIN,P,378.28,204,560,,131,,
353,"Odorizzi, Jake",MIN,P,380.1,278,478,,133,,
354,"Buttrey, Ty",LAA,P,380.25,198,550,,115,,
355,"Martin, Leonys",CLE,OF,383.33,283,551,,130,,
356,"DeSclafani, Anthony",CIN,P,384.52,259,453,,127,,
357,"Urena, Jose",MIA,P,384.81,192,472,,130,,
358,"Verdugo, Alex",LAD,OF,385.03,220,485,,127,,
359,"Cahill, Trevor",LAA,P,385.67,251,567,,132,,
360,"Barnes, Austin",LAD,C,385.81,264,520,,128,,
361,"Kinsler, Ian",SD,2B,388.07,246,479,,128,,
362,"Perez, Hernan",MLW,"2B, 3B, SS, OF",388.17,271,475,,129,,
363,"Holland, Derek",SF,P,389.09,284,520,,133,,
364,"Arcia, Orlando",MLW,SS,389.35,211,416,,121,,
365,"Peacock, Brad",HOU,P,390.41,202,507,,128,,
366,"Swanson, Dansby",ATL,SS,390.99,255,459,,124,,
367,"Sanchez, Aaron",TOR,P,391.24,275,487,,127,,
368,"Yarbrough, Ryan",TB,P,391.47,220,504,,126,,
369,"Calhoun, Kole",LAA,OF,392.16,264,455,,126,,
370,"Hiura, Keston",MLW,2B,392.21,185,477,,123,,
371,"Kingery, Scott",PHI,SS,392.29,227,423,,122,,
372,"Herrera, Kelvin",CWS,P,393.12,211,600,,126,,
373,"Anderson, Chase",MLW,P,395.12,272,474,,128,,
374,"Roark, Tanner",CIN,P,400.17,264,497,,129,,
375,"Sabathia, CC",NYY,P,403.36,312,480,,131,,
376,"Barnes, Matt",BOS,P,403.46,189,623,,126,,
377,"Iannetta, Chris",COL,C,403.69,282,492,,130,,
378,"Zobrist, Ben",CHC,"OF, 2B",404.79,278,490,,126,,
379,"Nunez, Eduardo",BOS,"2B, 3B",410.37,194,431,,120,,
380,"Sheffield, Justus",SEA,P,411.68,78,506,,124,,
381,"Flowers, Tyler",ATL,C,412.16,274,451,,123,,
382,"Anderson, Tyler",COL,P,412.8,205,507,,127,,
383,"Familia, Jeurys",NYM,P,420.45,140,537,,111,,
384,"Barria, Jaime",LAA,P,420.79,305,519,,126,,
385,"DeShields, Delino",TEX,OF,423.26,285,466,,115,,
386,"Gonzalez, Gio",MLW,P,425.96,308,545,,128,,
387,"Parker, Blake",MIN,P,426.21,232,678,,123,,
388,"Smith, Caleb",MIA,P,426.3,307,691,,126,,
389,"McCann, Brian",ATL,C,427.05,313,521,,125,,
390,"Richards, Trevor",MIA,P,429.86,313,548,,122,,
391,"McMahon, Ryan",COL,1B,430.72,271,491,,116,,
392,"Thames, Eric",MLW,"OF, 1B",430.88,253,509,,125,,
393,"Lynn, Lance",TEX,P,431.24,285,512,,128,,
394,"Chirinos, Yonny",TB,P,431.63,276,562,,127,,
395,"Duffy, Danny",KC,P,432.64,301,523,,124,,
396,"Guzman, Ronald",TEX,1B,439.47,300,484,,117,,
397,"Keller, Brad",KC,P,439.97,306,535,,123,,
398,"Crawford, Brandon",SF,SS,440.41,297,494,,118,,
